Date,Open,High,Low,Close,Adj Close,Volume
2012-12-03,5050,5100,4925,5010,4546.923828,20660
2012-12-04,5000,5070,4970,5020,4555.999512,24000
2012-12-05,5030,5160,4980,5150,4673.983887,27311
2012-12-06,5140,5180,5040,5050,4583.227051,13000
2012-12-07,5100,5100,5000,5010,4546.923828,24100
2012-12-10,5000,5050,4950,5010,4546.923828,18171
2012-12-11,5080,5450,5040,5180,4701.210938,61280
2012-12-12,5120,5290,5050,5120,4646.756836,23700
2012-12-13,5100,5190,5030,5080,4610.453613,15550
2012-12-14,5100,5240,5040,5070,4601.378418,16526
2012-12-17,5070,5100,5000,5010,4546.923828,28941
2012-12-18,5000,5050,4910,4910,4456.166992,21660
2012-12-20,4910,5090,4910,5080,4610.453613,21924
2012-12-21,4985,5110,4965,5000,4537.848633,43422
2012-12-24,5000,5000,4835,4925,4469.780762,38910
2012-12-26,4925,5000,4840,4905,4451.629395,39610
2012-12-27,4735,5070,4735,4870,4511.849121,29541
2012-12-28,4890,4960,4840,4880,4521.113281,13180
2013-01-02,4880,5130,4880,4990,4623.024414,36526
2013-01-03,5070,5070,4840,4945,4581.333008,27832
2013-01-04,4885,4950,4830,4910,4548.907715,34870
2013-01-07,4860,4960,4850,4880,4521.113281,32630
2013-01-08,4840,4950,4840,4895,4535.010742,24954
2013-01-09,4840,4915,4840,4890,4530.378418,16830
2013-01-10,4890,5190,4890,5060,4687.875977,45829
2013-01-11,5140,5370,5140,5180,4799.050781,65380
2013-01-14,5210,5300,5020,5080,4706.405273,46250
2013-01-15,5030,5100,4980,4980,4613.758789,38209
2013-01-16,4980,5050,4905,4930,4567.436523,30531
2013-01-17,4915,4960,4880,4920,4558.171387,21530
2013-01-18,4890,4995,4890,4965,4599.862305,12713
2013-01-21,4965,5390,4930,5250,4863.902832,92800
2013-01-22,5430,5500,5320,5480,5076.988281,85748
2013-01-23,5480,5530,5250,5440,5039.929688,77060
2013-01-24,5400,5430,5280,5380,4984.342285,19600
2013-01-25,5320,5470,5200,5250,4863.902832,26799
2013-01-28,5250,5420,5120,5130,4752.728027,31428
2013-01-29,5130,5290,5110,5130,4752.728027,29330
2013-01-30,5200,5200,5120,5160,4780.521484,17780
2013-01-31,5220,5230,5130,5160,4780.521484,12950
2013-02-01,5130,5140,5100,5100,4724.93457,10720
2013-02-04,5120,5300,5010,5110,4734.19873,32487
2013-02-05,5060,5070,4945,5040,4669.347168,27476
2013-02-06,5790,5790,5710,5790,5364.189941,455048
2013-02-07,6650,6650,6650,6650,6160.943359,222481
2013-02-08,7310,7640,6920,7100,6577.849609,2638960
2013-02-12,7100,7550,6780,7100,6577.849609,1351747
2013-02-13,7100,7160,6850,6880,6374.029297,593473
2013-02-14,6880,7150,6790,7010,6494.46875,548159
2013-02-15,7170,7580,6500,6500,6021.975098,1199973
2013-02-18,6520,6650,6430,6500,6021.975098,278524
2013-02-19,6550,6920,6470,6700,6207.26709,453690
2013-02-20,6850,6900,6460,6510,6031.239258,336030
