Date,Open,High,Low,Close,Adj Close,Volume
2012-12-04,1432000.000000,1434000.000000,1420000.000000,1430000.000000,1330524.375000,190098
2012-12-05,1430000.000000,1455000.000000,1427000.000000,1455000.000000,1353785.375000,248728
2012-12-06,1468000.000000,1471000.000000,1434000.000000,1454000.000000,1352855.000000,284974
2012-12-07,1450000.000000,1498000.000000,1450000.000000,1480000.000000,1377046.375000,317649
2012-12-10,1506000.000000,1506000.000000,1485000.000000,1491000.000000,1387281.000000,261122
2012-12-11,1498000.000000,1498000.000000,1469000.000000,1476000.000000,1373324.750000,253147
2012-12-12,1473000.000000,1496000.000000,1473000.000000,1490000.000000,1386350.625000,304889
2012-12-13,1500000.000000,1533000.000000,1493000.000000,1533000.000000,1426359.500000,613610
2012-12-14,1516000.000000,1536000.000000,1508000.000000,1515000.000000,1409611.375000,278105
2012-12-17,1501000.000000,1524000.000000,1497000.000000,1503000.000000,1398446.375000,310222
2012-12-18,1500000.000000,1516000.000000,1495000.000000,1515000.000000,1409611.375000,270769
2012-12-20,1515000.000000,1529000.000000,1495000.000000,1503000.000000,1398446.375000,402570
2012-12-21,1493000.000000,1496000.000000,1440000.000000,1442000.000000,1341689.625000,551524
2012-12-24,1448000.000000,1476000.000000,1442000.000000,1474000.000000,1371463.750000,289771
2012-12-26,1474000.000000,1503000.000000,1470000.000000,1470000.000000,1367741.875000,280774
2012-12-27,1470000.000000,1500000.000000,1470000.000000,1496000.000000,1399071.375000,182878
2012-12-28,1488000.000000,1530000.000000,1487000.000000,1522000.000000,1423387.000000,211255
2013-01-02,1522000.000000,1576000.000000,1522000.000000,1576000.000000,1473888.125000,228993
2013-01-03,1582000.000000,1584000.000000,1543000.000000,1543000.000000,1443026.125000,284548
2013-01-04,1540000.000000,1542000.000000,1510000.000000,1525000.000000,1426192.500000,259996
2013-01-07,1515000.000000,1528000.000000,1500000.000000,1520000.000000,1421516.500000,252219
2013-01-08,1513000.000000,1517000.000000,1498000.000000,1500000.000000,1402812.125000,276445
2013-01-09,1500000.000000,1513000.000000,1491000.000000,1500000.000000,1402812.125000,253199
2013-01-10,1515000.000000,1534000.000000,1500000.000000,1530000.000000,1430868.375000,293272
2013-01-11,1548000.000000,1548000.000000,1507000.000000,1533000.000000,1433674.000000,238271
2013-01-14,1539000.000000,1552000.000000,1528000.000000,1552000.000000,1451442.875000,159999
2013-01-15,1560000.000000,1560000.000000,1512000.000000,1512000.000000,1414034.625000,214543
2013-01-16,1514000.000000,1526000.000000,1483000.000000,1492000.000000,1395330.500000,324420
2013-01-17,1502000.000000,1502000.000000,1450000.000000,1469000.000000,1373820.750000,404734
2013-01-18,1480000.000000,1487000.000000,1455000.000000,1480000.000000,1384108.000000,250332
2013-01-21,1464000.000000,1475000.000000,1448000.000000,1454000.000000,1359792.750000,290393
2013-01-22,1445000.000000,1487000.000000,1445000.000000,1480000.000000,1384108.000000,238948
2013-01-23,1500000.000000,1502000.000000,1473000.000000,1473000.000000,1377561.875000,185871
2013-01-24,1468000.000000,1469000.000000,1441000.000000,1453000.000000,1358857.375000,319981
2013-01-25,1460000.000000,1461000.000000,1405000.000000,1417000.000000,1325189.875000,435905
2013-01-28,1396000.000000,1401000.000000,1371000.000000,1372000.000000,1283105.500000,617043
2013-01-29,1390000.000000,1418000.000000,1380000.000000,1409000.000000,1317708.250000,432331
2013-01-30,1426000.000000,1440000.000000,1412000.000000,1440000.000000,1346699.750000,323402
2013-01-31,1430000.000000,1448000.000000,1422000.000000,1448000.000000,1354181.500000,321056
2013-02-01,1460000.000000,1460000.000000,1422000.000000,1441000.000000,1347635.000000,231524
2013-02-04,1450000.000000,1453000.000000,1417000.000000,1437000.000000,1343894.250000,257238
2013-02-05,1415000.000000,1443000.000000,1414000.000000,1435000.000000,1342023.625000,227762
2013-02-06,1440000.000000,1443000.000000,1427000.000000,1427000.000000,1334542.000000,137943
2013-02-07,1439000.000000,1439000.000000,1420000.000000,1420000.000000,1327995.625000,194422
2013-02-08,1418000.000000,1470000.000000,1415000.000000,1462000.000000,1367274.250000,268477
2013-02-12,1462000.000000,1484000.000000,1459000.000000,1468000.000000,1372885.625000,168395
2013-02-13,1474000.000000,1489000.000000,1456000.000000,1487000.000000,1390654.625000,184181
2013-02-14,1490000.000000,1494000.000000,1477000.000000,1490000.000000,1393460.125000,150682
2013-02-15,1490000.000000,1498000.000000,1477000.000000,1498000.000000,1400942.000000,151999
2013-02-18,1490000.000000,1501000.000000,1481000.000000,1490000.000000,1393460.125000,142199
2013-02-19,1480000.000000,1499000.000000,1479000.000000,1492000.000000,1395330.500000,122645
2013-02-20,1502000.000000,1545000.000000,1497000.000000,1545000.000000,1444896.750000,360787
2013-02-21,1540000.000000,1558000.000000,1535000.000000,1550000.000000,1449572.625000,262473
2013-02-22,1530000.000000,1548000.000000,1520000.000000,1530000.000000,1430868.375000,277053
2013-02-25,1549000.000000,1549000.000000,1530000.000000,1530000.000000,1430868.375000,177951
2013-02-26,1515000.000000,1538000.000000,1508000.000000,1527000.000000,1428062.875000,184895
2013-02-27,1559000.000000,1559000.000000,1519000.000000,1527000.000000,1428062.875000,178764
2013-02-28,1530000.000000,1554000.000000,1530000.000000,1544000.000000,1443961.500000,255684
2013-03-04,1544000.000000,1563000.000000,1530000.000000,1539000.000000,1439285.125000,265537
2013-03-05,1556000.000000,1564000.000000,1548000.000000,1550000.000000,1449572.625000,185892
2013-03-06,1572000.000000,1575000.000000,1547000.000000,1560000.000000,1458924.750000,202973
2013-03-07,1548000.000000,1550000.000000,1512000.000000,1520000.000000,1421516.500000,269654
2013-03-08,1515000.000000,1517000.000000,1489000.000000,1499000.000000,1401876.875000,378820
2013-03-11,1493000.000000,1512000.000000,1485000.000000,1508000.000000,1410294.125000,274965
2013-03-12,1504000.000000,1512000.000000,1490000.000000,1494000.000000,1397201.000000,174931
2013-03-13,1506000.000000,1529000.000000,1501000.000000,1527000.000000,1428062.875000,226071
2013-03-14,1528000.000000,1534000.000000,1499000.000000,1520000.000000,1421516.500000,251156
2013-03-15,1529000.000000,1529000.000000,1480000.000000,1480000.000000,1384108.000000,732367
2013-03-18,1460000.000000,1460000.000000,1434000.000000,1445000.000000,1351375.875000,528791
2013-03-19,1450000.000000,1492000.000000,1448000.000000,1475000.000000,1379431.875000,279542
2013-03-20,1460000.000000,1485000.000000,1456000.000000,1460000.000000,1365404.125000,270315
2013-03-21,1461000.000000,1474000.000000,1456000.000000,1457000.000000,1362598.375000,235371
2013-03-22,1458000.000000,1468000.000000,1452000.000000,1455000.000000,1360727.875000,213742
2013-03-25,1480000.000000,1495000.000000,1470000.000000,1495000.000000,1398136.375000,205441
2013-03-26,1495000.000000,1522000.000000,1491000.000000,1509000.000000,1411229.125000,336600
2013-03-27,1515000.000000,1516000.000000,1487000.000000,1504000.000000,1406553.000000,257628
2013-03-28,1503000.000000,1510000.000000,1497000.000000,1510000.000000,1412164.125000,159792
2013-03-29,1524000.000000,1532000.000000,1517000.000000,1527000.000000,1428062.875000,190674
2013-04-01,1535000.000000,1535000.000000,1512000.000000,1512000.000000,1414034.625000,105910
2013-04-02,1510000.000000,1532000.000000,1510000.000000,1525000.000000,1426192.500000,171497
2013-04-03,1526000.000000,1528000.000000,1509000.000000,1521000.000000,1422451.750000,217654
2013-04-04,1517000.000000,1519000.000000,1499000.000000,1506000.000000,1408423.500000,214009
2013-04-05,1505000.000000,1516000.000000,1493000.000000,1505000.000000,1407488.250000,299547
2013-04-08,1505000.000000,1531000.000000,1497000.000000,1520000.000000,1421516.500000,259190
2013-04-09,1527000.000000,1530000.000000,1510000.000000,1528000.000000,1428998.000000,184880
2013-04-10,1540000.000000,1540000.000000,1513000.000000,1521000.000000,1422451.750000,235594
2013-04-11,1521000.000000,1540000.000000,1518000.000000,1540000.000000,1440220.500000,225830
2013-04-12,1540000.000000,1550000.000000,1513000.000000,1517000.000000,1418710.750000,214881
2013-04-15,1503000.000000,1535000.000000,1503000.000000,1523000.000000,1424321.875000,215346
2013-04-16,1505000.000000,1532000.000000,1501000.000000,1528000.000000,1428998.000000,371037
2013-04-17,1566000.000000,1566000.000000,1514000.000000,1518000.000000,1419646.000000,209822
2013-04-18,1520000.000000,1522000.000000,1481000.000000,1483000.000000,1386913.750000,267168
2013-04-19,1465000.000000,1492000.000000,1455000.000000,1475000.000000,1379431.875000,314080
2013-04-22,1490000.000000,1503000.000000,1465000.000000,1503000.000000,1405618.000000,186717
2013-04-23,1500000.000000,1503000.000000,1474000.000000,1483000.000000,1386913.750000,177297
2013-04-24,1485000.000000,1494000.000000,1474000.000000,1486000.000000,1389719.500000,201731
2013-04-25,1470000.000000,1494000.000000,1470000.000000,1494000.000000,1397201.000000,209278
2013-04-26,1495000.000000,1497000.000000,1472000.000000,1486000.000000,1389719.500000,233032
2013-04-29,1491000.000000,1492000.000000,1475000.000000,1481000.000000,1385043.250000,170003
